mass_mev,epsilon,production_probability,mean_decay_probability,mean_reco_probability,expected_produced,expected_decays,expected_signal,expected_background,signal_to_background,significance
20.0,1e-06,3.724625637175462e-10,0.05742479220251978,0.027136904946913357,3724.6256371754616,213.8858532469787,101.0748118788671,71458.72962783258,0.0014144501645254452,0.007071014025577035
20.0,3e-06,3.3521630734579164e-09,0.30971244255502967,0.14532808965917193,33521.630734579165,10382.066133234266,4871.634556916574,71458.72962783258,0.0681740996836741,0.3408108868975811
20.0,1e-05,3.724625637175463e-08,0.06466936973603402,0.029551988540556382,372462.5637175463,24086.91924588113,11007.009414767179,71458.72962783258,0.15403309675519392,0.7700307970372803
20.0,3e-05,3.352163073457917e-07,8.698839116922887e-10,3.8843237640662436e-10,3352163.0734579167,0.0029159927269700177,0.0013020886687257923,71458.72962783258,1.822154795512401e-08,9.109180683056053e-08
20.0,0.0001,3.7246256371754637e-06,7.899271877483646e-93,3.501124543932167e-93,37246256.37175464,2.942183054989475e-85,1.3040378235274002e-85,71458.72962783258,1.8248824605741218e-90,9.122816623290805e-90
30.0,1e-07,3.534545848986719e-12,0.001377676804017155,0.0006823968057246613,35.34545848986719,0.048694618288841245,0.024119627970358982,50626.47866294095,4.7642318026781453e-07,2.3815279594932877e-06
30.0,3e-07,3.1810912640880476e-11,0.012329416748870765,0.006110362244033419,318.10912640880474,3.9220999911133645,1.9437619954908145,50626.47866294095,3.8394177253210114e-05,0.00019192350497904235
30.0,1e-06,3.5345458489867193e-10,0.11913181786833489,0.05895128295432619,3534.545848986719,421.076872328765,208.36601245865518,50626.47866294095,0.004115751637515746,0.02057367904215765
30.0,3e-06,3.1810912640880482e-09,0.3682056815500449,0.18049295348438993,31810.912640880484,11712.958769664338,5741.645575586433,50626.47866294095,0.11341190869333305,0.5669195846869651
30.0,1e-05,3.534545848986721e-08,0.0030556937117273853,0.0014678350573002535,353454.58489867207,1080.0489524560855,518.8130308777796,50626.47866294095,0.010247859313540516,0.05122664994266481
30.0,3e-05,3.181091264088048e-07,3.089380242174077e-20,1.4656220077155312e-20,3181091.264088048,9.827600499826175e-14,4.662277365199062e-14,50626.47866294095,9.209167787946296e-19,4.603447413774106e-18
30.0,0.0001,3.534545848986721e-06,7.19615744038328e-206,3.405253798173204e-206,35345458.48986721,2.543514840956163e-198,1.2036025677079364e-198,50626.47866294095,2.377417113525189e-203,1.18841516570527e-202
40.0,1e-07,3.3553609557534286e-12,0.0024417974087685324,0.0012388584675373738,33.55360955753429,0.08193111687241829,0.041568173316794306,39644.212453896536,1.048530686922718e-06,5.241001183608982e-06
40.0,3e-07,3.019824860178087e-11,0.021599069875459932,0.010960392221880864,301.9824860178087,6.522540816663752,3.309846490893837,39644.212453896536,8.348876887749903e-05,0.0004173122846687652
40.0,1e-06,3.3553609557534293e-10,0.1879127433544,0.0951553485898079,3355.360955753429,630.5150821398685,319.28054138934857,39644.212453896536,0.008053648228241377,0.040255550383996024
40.0,3e-06,3.019824860178087e-09,0.2990610267143763,0.15003780242680131,30198.248601780873,9031.119231824567,4530.878857349428,39644.212453896536,0.11428853234551008,0.5712625684363017
40.0,1e-05,3.3553609557534306e-08,5.574273476517081e-05,2.752508910541844e-05,335536.09557534306,18.70369957979735,9.235660928795516,39644.212453896536,0.00023296366246487927,0.0011644512134400763
40.0,3e-05,3.019824860178087e-07,1.1190029219400437e-34,5.488472508244406e-35,3019824.860178087,3.379192842286463e-28,1.6574225724800438e-28,39644.212453896536,4.1807428370724e-33,2.0897126265104909e-32
40.0,0.0001,3.3553609557534307e-06,0.0,0.0,33553609.557534307,0.0,0.0,39644.212453896536,0.0,0.0
60.0,1e-07,3.0268577681450656e-12,0.00552948412228285,0.0028775804042912917,30.268577681450655,0.16736961969366643,0.08710026600191115,28086.7976013467,3.1011106085563446e-06,1.5498656915889954e-05
60.0,3e-07,2.7241719913305593e-11,0.04739150886549689,0.024656968031484604,272.41719913305593,12.910262107828052,6.716982170250335,28086.7976013467,0.0002391508731464733,0.001195222551496865
