event_id,energy_gev,mean_decay_length_m,decay_z_m,opening_angle_rad,in_decay_volume,detected,x_plus_at_detector_m,x_minus_at_detector_m,slope_plus_rad,slope_minus_rad,energy_plus_gev,energy_minus_gev
48.0,0.2249082438746026,1.8245912989088375,1.5399328669627093,0.10427164474444123,False,False,,,,,,
49.0,0.3238929773960222,2.6276151471973392,1.7859268140075988,0.054060331235440594,False,False,,,,,,
50.0,0.2842130113926735,2.305707335089416,0.08826266012644246,0.07920677833516981,False,False,,,,,,
51.0,0.17670716445177262,1.4335550763240208,4.068659680947237,0.10971023566984328,True,True,0.11391007523400007,-0.11391007523400007,0.04170482690838922,-0.04170482690838922,0.09585707798640263,0.08018494768309439
52.0,0.1604277241492585,1.3014864397308943,0.583957437892424,0.10690909462518956,False,False,,,,,,
53.0,0.2767080565609584,2.2448226158423705,2.4377807053583638,0.06868101147003386,True,True,0.14907166568219027,-0.14907166568219027,0.03417335434403849,-0.03417335434403849,0.1403562556076942,0.13914255012529403
54.0,0.4206679476118028,3.412712063014815,8.318737510840252,0.03748541662734101,False,False,,,,,,
55.0,0.448195297861426,3.636030527834993,2.9179733591075308,0.04069558984074762,True,False,0.062201685215573475,-0.062201685215573475,0.016022992877059043,-0.016022992877059043,0.2568022358111438,0.1838847002966933
56.0,0.3137382353784328,2.54523375641876,0.21990192397738512,0.05621622520435221,False,False,,,,,,
57.0,0.35849557088256456,2.9083322516820727,5.543890146237898,0.04460732021112196,True,False,-0.014819545292235387,0.014819545292235387,-0.01179796914087588,0.01179796914087588,0.1473087355055231,0.2198010023081592
58.0,0.21267945132591232,1.725383959524062,1.904261251052341,0.08015023778069313,False,False,,,,,,
59.0,0.40731381740381634,3.304375305934568,0.3094710227482809,0.038233743820912124,False,False,,,,,,
60.0,0.3373816871791947,2.7370436949459274,4.231353860562288,0.05455224534902321,True,False,0.015282347227688354,-0.015282347227688354,0.005949572809212921,-0.005949572809212921,0.17760752836127774,0.1514112467816135
61.0,0.44637000259761717,3.6212226319619454,1.1063694386649565,0.03968528431881384,False,False,,,,,,
62.0,0.44502102007596567,3.6102788722802956,7.560042301636225,0.04744353428608926,False,False,,,,,,
63.0,0.41155074823011395,3.3387478437595997,0.010990996150321066,0.0392875290895031,False,False,,,,,,
64.0,0.4015438496486142,3.2575658480874106,0.27121365225073496,0.060424056466550365,False,False,,,,,,
65.0,0.3500769828525191,2.8400355889893376,0.31383834005489125,0.06505551901570754,False,False,,,,,,
66.0,0.26716987604974496,2.167443143803608,2.183913971485888,0.0621907627637958,False,False,,,,,,
67.0,0.32445783708129505,2.632197629587037,3.9619066637712876,0.08067484782489898,True,True,0.09232237590838925,-0.09232237590838925,0.032529718008171,-0.032529718008171,0.19418186353867423,0.12470153163158093
68.0,0.4543230304105752,3.685742389430657,0.28174063956793266,0.035894995485308626,False,False,,,,,,
69.0,0.23525557958890111,1.9085351258933392,1.0094257476531212,0.09268972791283331,False,False,,,,,,
70.0,0.37904551388583707,3.0750457813904326,0.3909207843746192,0.0854895268113164,False,False,,,,,,
71.0,0.3153523306301874,2.5583282704357897,4.107861842334073,0.07738323301443525,True,False,-0.09677772221069811,0.09677772221069811,-0.035948274770045245,0.035948274770045245,0.14099427715730342,0.1774990520956682
72.0,0.21913332290954074,1.7777416576364042,2.592338155584529,0.11213480228614102,True,False,0.10092782966509818,-0.10092782966509818,0.023986677969155837,-0.023986677969155837,0.09373031851301893,0.12729876262832873
73.0,0.45885831614074013,3.7225353621504036,6.136807569688347,0.03743184544827407,True,True,0.00925676003690551,-0.00925676003690551,0.013957879514028078,-0.013957879514028078,0.264135076325049,0.19682418173962943
74.0,0.4335674446794412,3.517360561906815,1.7599524552558572,0.049220556256687434,False,False,,,,,,
75.0,0.3764839501174231,3.0542648314219907,0.6360484167104934,0.04519354172870152,False,False,,,,,,
76.0,0.4320997793211072,3.5054539754856466,1.447118785518593,0.044034391350908364,False,False,,,,,,
77.0,0.34381405293472533,2.7892269248122545,5.608223169657175,0.0657136482845531,True,False,-0.03726402125592647,0.03726402125592647,-0.031267616811452154,0.031267616811452154,0.20932656534202665,0.1439868075069601
78.0,0.2633810662989513,2.13670603436989,1.8000587657087437,0.09203454217880068,False,False,,,,,,
79.0,0.37423725092303217,3.0360382527482592,1.379366903363206,0.05438047057076213,False,False,,,,,,
80.0,0.16627565303961878,1.3489283653187267,1.5169620662652041,0.0863702219644366,False,False,,,,,,
81.0,0.21775930634004304,1.7665948066625472,2.210899434739227,0.12923245760544433,True,True,0.12229795076129647,-0.12229795076129647,0.026649655857856964,-0.026649655857856964,0.12149287474719465,0.1006003795317778
82.0,0.22089471013290513,1.7920310929474181,0.07970942706153211,0.05920705608520275,False,False,,,,,,
83.0,0.38650819772645373,3.1355875728673537,1.4229326429894436,0.04987173847468106,False,False,,,,,,
84.0,0.34040232472886134,2.7615489282594377,0.5616327261399854,0.060511670476899815,False,False,,,,,,
85.0,0.37804242131578614,3.066908089575385,14.560373754237677,0.055154091913807046,False,False,,,,,,
86.0,0.42667894576139376,3.461476904767862,9.948839794994665,0.04993347538973582,False,False,,,,,,
87.0,0.4035522915965599,3.2738595403036395,3.2279113678940745,0.061506347124298436,True,True,0.039166300519539975,-0.039166300519539975,0.010964537712618143,-0.010964537712618143,0.19578682601683486,0.20082179914403722
88.0,0.37518590922910866,3.0437343409888924,2.517402093672642,0.06124089859689796,True,True,0.0637840692663342,-0.0637840692663342,0.01489377958460586,-0.01489377958460586,0.17196663722276556,0.19437303936390438
89.0,0.32885808765275903,2.6678951156702424,1.4596071803752404,0.0537397336874092,False,False,,,,,,
90.0,0.4040294721943536,3.277730717063296,0.24788267049524484,0.04988607203627534,False,False,,,,,,
91.0,0.42767752743390675,3.4695780014619118,2.3233949284568114,0.0473036667076696,True,False,-0.1045732485149503,0.1045732485149503,-0.023359945057405188,0.023359945057405188,0.20611201346955604,0.22563471565453314
92.0,0.34194285681140213,2.7740466534876025,6.461641508133213,0.052544813961463516,False,False,,,,,,
93.0,0.28189548419854726,2.2869061569709963,2.984145900590502,0.10354459940989154,True,False,0.12245231710741965,-0.12245231710741965,0.03209040857363207,-0.03209040857363207,0.17362912729029267,0.11886846419967013
